image_name,captions
figure_9647.jpg,"A black cat figure, viewed from the frontside"
figure_9648.jpg,"A black cat figure, viewed from the left backside"
figure_9649.jpg,"A black cat figure, viewed from the right backside"
figure_9650.jpg,"A white cat figure with brown and black spots, viewed from the frontside"
figure_9651.jpg,"A white cat figure with brown and black spots, viewed from the left backside"
figure_9652.jpg,"A white cat figure with brown and black spots, viewed from the right backside"
figure_9653.jpg,"A grey cat figure with dark grey stripes, viewed from the frontside"
figure_9654.jpg,"A grey cat figure with dark grey stripes, viewed from the left backside"
figure_9655.jpg,"A grey cat figure with dark grey stripes, viewed from the right backside"
figure_9656.jpg,"A beige cat figure with brown stripes, viewed from the frontside"
figure_9657.jpg,"A beige cat figure with brown stripes, viewed from the left backside"
figure_9658.jpg,"A beige cat figure with brown stripes, viewed from the right backside"
figure_9659.jpg,A grey cat figure with dark grey stripes and a beige cat figure with brown stripes standing together
figure_9660.jpg,A white cat figure with brown and black spots standing infront of a black cat figure
figure_9661.jpg,"A beige cat figure, part of a black cat figure in the background and the tale of a white cat figure"
figure_9662.jpg,"A black cat, grey striped cat and beige striped cat figure standing together, viewed from the backside"
figure_9663.jpg,"A black cat figure and a grey striped cat figure standing together, viewed from above"
figure_9664.jpg,"A white cat figure with brown and black spots, a grey cat figure with dark grey stripes and a beige cat figure with brown stripes standing together, viewed from above"
figure_9665.jpg,"A black cat figure, a white cat figure with brown and black spots, a grey cat figure with dark grey stripes and a beige cat figure with brown stripes standing together, viewed from the frontside"
figure_9666.jpg,"A white cat figure, viewed from the frontside"
figure_9667.jpg,"A white cat figure, viewed from the left backside"
figure_9668.jpg,"A white cat figure, viewed from the right backside"
figure_9669.jpg,"A white cat figure, viewed from the top"
figure_9670.jpg,A white cat figure holding a beige cat figure
figure_9671.jpg,A grey cat figure with dark grey stripes lying infront of a white cat figure with brown and black spots
figure_9672.jpg,A grey cat figure with dark grey stripes and a white cat figure with brown and black spots lying infront of a black cat figure
figure_9673.jpg,A grey cat figure with dark grey stripes with a black cat figure and part of a white spotted cat figure in the background
figure_9674.jpg,"A black cat figure, viewed from the top"
figure_9675.jpg,"A white cat figure with brown and black spots, viewed from the top"
figure_9676.jpg,"A grey cat figure with dark grey stripes, viewed from the top"
figure_9677.jpg,"A beige cat figure with brown stripes, viewed from the top"
